timestamp,processo,cpu,ram,disco,mac
2025-10-13_18-21-10,MemCompression,0.0,9.5,0.0,154724027927939
2025-10-13_18-21-10,opera.exe,0.0,2.8,222.4,154724027927939
2025-10-13_18-21-10,Discord.exe,0.0,2.6,231.4,154724027927939
2025-10-13_18-21-10,opera.exe,0.0,2.6,9546.5,154724027927939
2025-10-13_18-21-10,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-21-17,MemCompression,0.0,9.5,0.0,154724027927939
2025-10-13_18-21-17,opera.exe,0.3,2.8,222.5,154724027927939
2025-10-13_18-21-17,Discord.exe,0.1,2.6,231.4,154724027927939
2025-10-13_18-21-17,opera.exe,0.0,2.6,9546.5,154724027927939
2025-10-13_18-21-17,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-21-24,MemCompression,0.0,9.5,0.0,154724027927939
2025-10-13_18-21-24,opera.exe,0.2,2.8,222.5,154724027927939
2025-10-13_18-21-24,Discord.exe,0.1,2.6,231.4,154724027927939
2025-10-13_18-21-24,opera.exe,0.1,2.6,9546.5,154724027927939
2025-10-13_18-21-24,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-21-31,MemCompression,2.1,9.7,0.0,154724027927939
2025-10-13_18-21-31,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-21-31,Discord.exe,0.0,2.6,231.4,154724027927939
2025-10-13_18-21-31,opera.exe,0.0,2.6,9546.6,154724027927939
2025-10-13_18-21-31,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-21-38,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-21-38,opera.exe,0.1,2.8,222.5,154724027927939
2025-10-13_18-21-38,Discord.exe,0.0,2.6,231.4,154724027927939
2025-10-13_18-21-38,opera.exe,0.0,2.6,9546.6,154724027927939
2025-10-13_18-21-38,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-21-46,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-21-46,opera.exe,0.1,2.8,222.5,154724027927939
2025-10-13_18-21-46,Discord.exe,0.1,2.6,231.4,154724027927939
2025-10-13_18-21-46,opera.exe,0.0,2.6,9546.6,154724027927939
2025-10-13_18-21-46,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-21-53,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-21-53,opera.exe,0.1,2.8,222.5,154724027927939
2025-10-13_18-21-53,Discord.exe,0.1,2.6,231.4,154724027927939
2025-10-13_18-21-53,opera.exe,0.1,2.6,9546.6,154724027927939
2025-10-13_18-21-53,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-22-00,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-00,opera.exe,0.1,2.8,222.5,154724027927939
2025-10-13_18-22-00,Discord.exe,0.1,2.6,231.4,154724027927939
2025-10-13_18-22-00,opera.exe,0.0,2.6,9546.6,154724027927939
2025-10-13_18-22-00,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-22-07,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-07,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-22-07,Discord.exe,0.0,2.6,231.4,154724027927939
2025-10-13_18-22-07,opera.exe,0.0,2.6,9546.7,154724027927939
2025-10-13_18-22-07,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-22-14,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-14,opera.exe,0.2,2.8,222.5,154724027927939
2025-10-13_18-22-14,opera.exe,0.1,2.6,9546.7,154724027927939
2025-10-13_18-22-14,Discord.exe,0.0,2.6,231.4,154724027927939
2025-10-13_18-22-14,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-22-21,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-21,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-22-21,Discord.exe,0.1,2.6,231.4,154724027927939
2025-10-13_18-22-21,opera.exe,0.0,2.6,9546.7,154724027927939
2025-10-13_18-22-21,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-22-28,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-28,opera.exe,0.1,2.8,222.5,154724027927939
2025-10-13_18-22-28,opera.exe,0.1,2.6,9546.7,154724027927939
2025-10-13_18-22-28,Discord.exe,0.0,2.6,231.4,154724027927939
2025-10-13_18-22-28,Code.exe,0.1,2.4,9043.9,154724027927939
2025-10-13_18-22-35,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-35,opera.exe,0.1,2.8,222.5,154724027927939
2025-10-13_18-22-35,Discord.exe,0.1,2.6,231.4,154724027927939
2025-10-13_18-22-35,opera.exe,0.1,2.6,9546.7,154724027927939
2025-10-13_18-22-35,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-22-43,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-43,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-22-43,Discord.exe,0.0,2.6,231.4,154724027927939
2025-10-13_18-22-43,opera.exe,0.0,2.6,9546.7,154724027927939
2025-10-13_18-22-43,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-22-50,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-50,opera.exe,0.3,2.8,222.5,154724027927939
2025-10-13_18-22-50,opera.exe,0.1,2.6,9548.4,154724027927939
2025-10-13_18-22-50,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-22-50,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-22-57,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-22-57,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-22-57,opera.exe,0.0,2.6,9548.4,154724027927939
2025-10-13_18-22-57,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-22-57,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-23-04,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-23-04,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-23-04,opera.exe,0.0,2.6,9548.5,154724027927939
2025-10-13_18-23-04,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-23-04,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-23-11,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-23-11,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-23-11,opera.exe,0.1,2.6,9548.5,154724027927939
2025-10-13_18-23-11,Discord.exe,0.1,2.5,231.4,154724027927939
2025-10-13_18-23-11,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-23-19,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-23-19,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-23-19,opera.exe,0.0,2.6,9548.5,154724027927939
2025-10-13_18-23-19,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-23-19,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-23-27,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-23-27,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-23-27,opera.exe,0.1,2.6,9548.5,154724027927939
2025-10-13_18-23-27,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-23-27,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-23-34,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-23-34,opera.exe,0.0,2.8,222.5,154724027927939
2025-10-13_18-23-34,opera.exe,0.0,2.6,9548.5,154724027927939
2025-10-13_18-23-34,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-23-34,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-23-41,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-23-41,opera.exe,0.1,2.8,222.5,154724027927939
2025-10-13_18-23-41,opera.exe,0.1,2.6,9548.5,154724027927939
2025-10-13_18-23-41,Discord.exe,0.1,2.5,231.4,154724027927939
2025-10-13_18-23-41,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-23-48,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-23-48,opera.exe,0.2,2.8,222.5,154724027927939
2025-10-13_18-23-48,opera.exe,0.1,2.6,9548.6,154724027927939
2025-10-13_18-23-48,Discord.exe,0.1,2.5,231.4,154724027927939
2025-10-13_18-23-48,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-23-55,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-23-55,opera.exe,0.2,2.8,222.5,154724027927939
2025-10-13_18-23-55,opera.exe,0.5,2.6,9548.6,154724027927939
2025-10-13_18-23-55,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-23-55,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-24-02,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-24-02,opera.exe,0.2,2.8,222.6,154724027927939
2025-10-13_18-24-02,opera.exe,0.0,2.6,9548.6,154724027927939
2025-10-13_18-24-02,Discord.exe,0.1,2.5,231.4,154724027927939
2025-10-13_18-24-02,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-24-09,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-24-09,opera.exe,0.1,2.8,222.6,154724027927939
2025-10-13_18-24-09,opera.exe,0.1,2.6,9548.7,154724027927939
2025-10-13_18-24-09,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-24-09,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-24-16,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-24-16,opera.exe,0.2,2.8,222.6,154724027927939
2025-10-13_18-24-16,opera.exe,0.1,2.6,9548.7,154724027927939
2025-10-13_18-24-16,Discord.exe,0.1,2.5,231.4,154724027927939
2025-10-13_18-24-16,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-24-23,MemCompression,0.0,9.7,0.0,154724027927939
2025-10-13_18-24-23,opera.exe,0.2,2.8,222.6,154724027927939
2025-10-13_18-24-23,opera.exe,0.0,2.6,9550.8,154724027927939
2025-10-13_18-24-23,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-24-23,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-24-30,MemCompression,0.0,9.6,0.0,154724027927939
2025-10-13_18-24-30,opera.exe,0.0,2.8,222.6,154724027927939
2025-10-13_18-24-30,opera.exe,0.1,2.6,9550.8,154724027927939
2025-10-13_18-24-30,Discord.exe,0.0,2.5,231.4,154724027927939
2025-10-13_18-24-30,Code.exe,0.0,2.4,0.0,154724027927939
2025-10-13_18-24-37,MemCompression,0.0,9.6,0.0,154724027927939
2025-10-13_18-24-37,opera.exe,0.1,2.8,222.8,154724027927939
