timestamp,mac,cpu,ram,disco,qtd_processos,alerta_cpu,alerta_ram,alerta_disco,nivel
2025-10-07 12:00:15,TOTEM32,45.6%,66.6%,71.5%,191,NAO,NAO,NAO,OK
2025-10-07 12:44:15,TOTEM31,85.8%,64.5%,98.2%,209,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:44:45,TOTEM15,95.6%,39.8%,95.7%,90,SIM,NAO,SIM,PERIGOSO
2025-10-07 12:45:45,TOTEM19,89.6%,91.6%,94.3%,207,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:00:30,TOTEM26,29.4%,11.2%,43.4%,206,NAO,NAO,NAO,OK
2025-10-07 12:26:30,TOTEM14,10.3%,10.5%,93.1%,168,NAO,NAO,SIM,ATENCAO
2025-10-07 12:42:15,TOTEM22,95.0%,85.0%,17.3%,164,SIM,SIM,NAO,PERIGOSO
2025-10-07 12:30:30,TOTEM35,62.5%,93.9%,37.3%,81,NAO,SIM,NAO,ATENCAO
2025-10-07 12:48:15,TOTEM24,90.1%,92.9%,95.9%,128,SIM,SIM,SIM,MUITO_PERIGOSO
2025-10-07 12:21:00,TOTEM37,86.3%,10.0%,72.5%,92,SIM,NAO,NAO,ATENCAO
2025-10-07 12:12:30,TOTEM31,59.3%,55.8%,69.4%,89,NAO,NAO,NAO,OK
2025-10-07 12:18:00,TOTEM19,14.0%,63.4%,22.0%,178,NAO,NAO,NAO,OK
2025-10-07 12:15:30,TOTEM21,65.8%,62.0%,57.2%,111,NAO,NAO,NAO,OK
2025-10-07 12:13:15,TOTEM20,37.6%,16.2%,28.0%,113,NAO,NAO,NAO,OK
2025-10-07 12:30:15,TOTEM11,57.6%,7.6%,97.5%,221,NAO,NAO,SIM,ATENCAO
2025-10-07 12:03:45,TOTEM04,40.5%,44.9%,43.3%,208,NAO,NAO,NAO,OK
2025-10-07 12:22:45,TOTEM32,32.2%,57.9%,91.7%,124,NAO,NAO,SIM,ATENCAO
2025-10-07 12:27:00,TOTEM22,88.5%,20.4%,47.1%,121,SIM,NAO,NAO,ATENCAO
2025-10-07 12:30:00,TOTEM13,62.1%,87.5%,74.8%,238,NAO,SIM,NAO,ATENCAO
2025-10-07 12:11:15,TOTEM28,6.7%,34.3%,7.4%,244,NAO,NAO,NAO,OK
2025-10-07 12:22:30,TOTEM09,53.9%,85.1%,53.0%,210,NAO,SIM,NAO,ATENCAO
2025-10-07 12:37:00,TOTEM29,36.3%,86.2%,97.8%,200,NAO,SIM,SIM,PERIGOSO
