timestamp,mac,processo,cpu,ram,disco,alerta_processo,motivo,tipo_alerta
2025-10-07 12:04:40,TOTEM07,node,10.2%,7.6%,68.4%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:08:59,TOTEM19,Xorg,10.9%,12.5%,2.7%,NAO,-,-
2025-10-07 12:07:35,TOTEM21,nginx,13.3%,11.1%,6.3%,NAO,-,-
2025-10-07 12:07:42,TOTEM07,java,18.9%,3.5%,7.8%,NAO,-,-
2025-10-07 12:09:34,TOTEM01,sshd,2.2%,8.0%,12.2%,NAO,-,-
2025-10-07 12:01:17,TOTEM40,miner_helper,47.6%,47.8%,30.1%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:05:22,TOTEM02,Teams.exe,65.9%,26.1%,12.2%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:08:52,TOTEM02,chrome.exe,20.8%,8.5%,12.9%,NAO,-,-
2025-10-07 12:01:45,TOTEM24,xmrig,7.7%,14.0%,10.0%,SIM,PROCESSO_SUSPEITO,PROCESSO_SUSPEITO
2025-10-07 12:00:14,TOTEM21,xmrig,57.3%,60.2%,45.0%,SIM,PROCESSO_SUSPEITO|ALTO_CONSUMO,AMBOS
2025-10-07 12:06:53,TOTEM36,redis-server,3.2%,7.6%,13.6%,NAO,-,-
2025-10-07 12:08:17,TOTEM38,Teams.exe,19.8%,10.4%,4.2%,NAO,-,-
2025-10-07 12:08:03,TOTEM14,discord,5.8%,3.0%,9.5%,NAO,-,-
2025-10-07 12:05:50,TOTEM13,explorer.exe,19.5%,11.5%,5.0%,NAO,-,-
2025-10-07 12:10:23,TOTEM34,explorer.exe,7.4%,14.8%,11.0%,NAO,-,-
2025-10-07 12:07:56,TOTEM38,git,19.7%,2.9%,9.5%,NAO,-,-
2025-10-07 12:05:01,TOTEM33,Xorg,6.8%,51.8%,9.7%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:03:44,TOTEM07,python.exe,41.5%,26.6%,11.7%,SIM,ALTO_CONSUMO,DESEMPENHO
2025-10-07 12:11:05,TOTEM34,spotify,7.9%,12.8%,8.3%,NAO,-,-
